score,reason,province,name_a,city_a,sources_a,name_b,city_b,sources_b,evidence_b,decision,reviewer,notes
0.359,same-name-different-city,Ontario,Southwest Academy,London,census-2026-07,South Windsor Warriors,Windsor,census-2026-07,ontario census + enrichment 2026-07-18,,,
0.357,same-name-different-city,Ontario,Peel Elite,Mississauga/Brampton,"census-2026-07,league-harvest",Project Excellence,Scarborough,ontario-circuit-list,,,,
0.353,same-name-different-city,Alberta,Titans Basketball (YYC),Calgary,census-2026-07,TriCounty Broncos,Didsbury,census-2026-07,https://www.abbasketball.ca/content/Alberta-Club-Map,distinct,auto-rule,both are census municipalities (Calgary / Didsbury); kept separate - override if they are one club
0.353,same-name-different-city,Ontario,RWI519,SW Ontario (519),"league-harvest,ontario-circuit-list",RUN WITH It (RWI/RWI 519),K-W/519 ON,contact-enrichment,,,,
0.353,same-name-different-city,Ontario,AD Rebelles (assoc. Louis-Riel),Ottawa (Gloucester),ontario-circuit-list,Aurora Dunks Basketball (Special Olympics Ontario),Aurora,municipal-directory,https://www.aurora.ca/recreation-arts-and-culture/sport/sport-organizations-serving-aurora/,distinct,auto-rule,both are census municipalities (Ottawa (Gloucester) / Aurora); kept separate - override if they are one club
0.35,same-name-different-city,Quebec,Celtics EMB (Entraînement Mario Beaulac),Saint-Barnabé-Sud (Saint-Hyacinthe area),census-2026-07,CB Elite (Québec AAU),Montreal QC,contact-enrichment,,,,
0.345,same-name-different-city,Newfoundland & Labrador,Central Athletics,Grand Falls-Windsor,census-2026-07,CE23 Academy (CE23 Basketball),Paradise,census-2026-07,https://www.ce23basketball.com/staff,distinct,auto-rule,both are census municipalities (Grand Falls-Windsor / Paradise); kept separate - override if they are one club
0.343,same-name-different-city,Alberta,NW Warriors,Calgary,census-2026-07,NW Edmonton Ballers Club (Elite Knights),Edmonton,census-2026-07,https://www.nwebc.ca/,distinct,auto-rule,both are census municipalities (Calgary / Edmonton); kept separate - override if they are one club
0.341,same-name-different-city,Alberta,Calgary Chinooks Basketball,Calgary,census-2026-07,Cochrane Chaos,Cochrane,census-2026-07,https://www.aybc.ca/2020-club-members-1/cochrane-chaos,,,
0.34,same-name-different-city,British Columbia,BC United Basketball Club,North Vancouver,census-2026-07,BC Preparatory Academy (BCPrep),Surrey,census-2026-07,https://bcprep.com/programs/basketball-youth-league/,distinct,auto-rule,both are census municipalities (North Vancouver / Surrey); kept separate - override if they are one club
