candidate,province,leagues,team_entries,last_verified,source,closest_known_club,closest_score,evidence_url,decision,reviewer,notes
Brampton Warriors U14B,Ontario,OBL,2,,obl-teams,Brampton Minor Basketball (BMBA),0.872,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team McPherson DB,Ontario,OBL,2,,obl-teams,Scarborough Basketball Association (SBA),0.5,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
BWT Rebels,Ontario,OBL,2,,obl-teams,Barrie Royals,0.435,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
South Simcoe Sonics,Ontario,OBL,2,,obl-teams,South Simcoe Basketball Club,0.638,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
NRBA Blue Mad Dogz,Ontario,OBL,2,,obl-teams,NRBA,0.364,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Burloak Elite Nate,Ontario,OBL,2,,obl-teams,Burloak Elite,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
DC Chameleons,Ontario,OBL,2,,obl-teams,Dream Chaserzzz,0.429,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brampton Warriors U14G,Ontario,OBL,2,,obl-teams,Brampton Minor Basketball (BMBA),0.872,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
.button.primary-button:active,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
.button.primary-button:focus,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
.login,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
.request-storage-access{display:none}.error,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
.request-storage-access,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
.too-many-login-redirects{margin:auto;padding:36px}.document-root.show-error .error,Ontario,OBL,2,,obl-teams,Town of Oakvile,0.217,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
.document-root.show-login-page .login,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
.document-root.show-storage-access .request-storage-access,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Roboto,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
sans-serif;text-align:center}.subtitle-text{font-family:Google Sans Text,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
sans-serif;margin-top:16px;text-align:center},Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
not_in_iframe,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Copyright The Closure Library Authors.,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SPDX-License-Identifier: Apache-2.0,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Copyright Google LLC,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
function n {var a=new p,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
b=new q,Ontario,OBL,2,,obl-teams,B-Elite,0.429,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
window.location.href,Ontario,OBL,2,,obl-teams,Windsor St. Clair (WSC JUEL),0.556,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
b!==void 0&&(a.href=b))}function y(a,Ontario,OBL,2,,obl-teams,B-Elite,0.4,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
function {d&&d.close ;var e=window.location.href;var f=(new URL(e)).searchParams,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
isFinite(f)&&(g=f+1));e=m(e,Ontario,OBL,2,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
login_counter,Ontario,OBL,2,,obl-teams,London CYO Basketball,0.522,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
String(g));A(a,Ontario,OBL,2,,obl-teams,Strive Hoops,0.455,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
