candidate,province,leagues,team_entries,last_verified,source,closest_known_club,closest_score,evidence_url,decision,reviewer,notes
Grassroots Kitchener GREY,Ontario,OBL,1,,obl-teams,Grassroots Elite,0.683,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Kazmaier,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Clarke,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.538,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brantford CYO -Petrella,Ontario,OBL,1,,obl-teams,Brantford CYO Girls,0.78,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Barrie Royals Hreljac,Ontario,OBL,1,,obl-teams,Barrie Royals,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
North York Lions Appiah/Phillips,Ontario,OBL,1,,obl-teams,North York Lions,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Kingston Impact Severino,Ontario,OBL,1,,obl-teams,Kingston Impact,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
U14G Valhalla,Ontario,OBL,1,,obl-teams,Upper Valley Basketball Association,0.48,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE - HABASH,Ontario,OBL,1,,obl-teams,Markham Unionville Minor Basketball Association (MUMBA),0.276,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GYBA Robbins,Ontario,OBL,1,,obl-teams,Guelph Youth Basketball Association,0.5,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TTT U14 Girls,Ontario,OBL,1,,obl-teams,Toronto Top Tier,0.414,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE - JARVIS,Ontario,OBL,1,,obl-teams,Markham Unionville Minor Basketball Association (MUMBA),0.277,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
KW Viper Majuery,Ontario,OBL,1,,obl-teams,KW Vipers,0.64,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Belleville Spirits de Vries,Ontario,OBL,1,,obl-teams,Belleville Spirits,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Tecumseh U14G,Ontario,OBL,1,,obl-teams,Tecumseh Saints Basketball Association,0.353,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
London 86ers Friesen,Ontario,OBL,1,,obl-teams,London 86ers,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Peterborough Power Harrington,Ontario,OBL,1,,obl-teams,Peterborough Youth Basketball Association,0.6,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TEAM BREAKDOWN ALAN,Ontario,OBL,1,,obl-teams,Team Breakdown Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brantford CYO -Stevens,Ontario,OBL,1,,obl-teams,Brantford CYO Boys,0.769,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE - ARCE,Ontario,OBL,1,,obl-teams,Markham Unionville Minor Basketball Association (MUMBA),0.317,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Hoopzone,Ontario,OBL,1,,obl-teams,HoopHer,0.667,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
EY Eagles - O'Brien,Ontario,OBL,1,,obl-teams,East York Basketball,0.432,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YNBA Avengers U14G Liversidge,Ontario,OBL,1,,obl-teams,YNBA Basketball,0.364,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Kingston Impact Law,Ontario,OBL,1,,obl-teams,Kingston Impact,0.882,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Sudbury Storm - Coach Breanna -26,Ontario,OBL,1,,obl-teams,Sudbury Youth Basketball Association (Jam),0.455,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brampton Warriors U16B,Ontario,OBL,1,,obl-teams,Brampton Minor Basketball (BMBA),0.872,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
London Ramblers Red,Ontario,OBL,1,,obl-teams,London Ramblers,0.882,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Burloak Elite Xzennis,Ontario,OBL,1,,obl-teams,Burloak Elite,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
London Ramblers Blue,Ontario,OBL,1,,obl-teams,London Ramblers,0.857,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
London Gold Medal-Cyros,Ontario,OBL,1,,obl-teams,London Royals,0.611,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
OSS Rising Stars - Al Hussaini,Ontario,OBL,1,,obl-teams,Ottawa Shooting Stars,0.595,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Haldimand Huskies Hinzey,Ontario,OBL,1,,obl-teams,Haldimand Huskies,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TTT U16 Boys - Scott,Ontario,OBL,1,,obl-teams,Toronto Top Tier,0.485,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Union Elite Basil,Ontario,OBL,1,,obl-teams,Union Elite Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Sudbury Storm - - Coach Dan –26,Ontario,OBL,1,,obl-teams,Sudbury Youth Basketball Association (Jam),0.449,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
DK Dragons Red,Ontario,OBL,1,,obl-teams,DK Dragons,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Hamilton Celtics U16B,Ontario,OBL,1,,obl-teams,Hamilton Celtics,0.865,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Breakdown FCF,Ontario,OBL,1,,obl-teams,Breakthrough,0.48,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GBA Steve,Ontario,OBL,1,,obl-teams,Grimsby Basketball Association,0.667,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Toronto Lords Ptolemy,Ontario,OBL,1,,obl-teams,Toronto Lords Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
KW Viper Zavitz,Ontario,OBL,1,,obl-teams,KW Vipers,0.667,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Burloak Elite Jamie,Ontario,OBL,1,,obl-teams,Burloak Elite,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Tappin,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.538,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE - HENG,Ontario,OBL,1,,obl-teams,Markham Unionville Minor Basketball Association (MUMBA),0.286,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
ELITE 8,Ontario,OBL,1,,obl-teams,Elite 8 Basketball Academy,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GBA Jaime,Ontario,OBL,1,,obl-teams,Grimsby Basketball Association,0.632,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Kingston Impact- Turnbull,Ontario,OBL,1,,obl-teams,Kingston Impact,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Barrie Royals Cramp,Ontario,OBL,1,,obl-teams,Barrie Royals,0.857,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE - BLACKETT,Ontario,OBL,1,,obl-teams,Markham Unionville Minor Basketball Association (MUMBA),0.276,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
CBA White,Ontario,OBL,1,,obl-teams,Caledon Basketball Academy,0.286,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Breakthrough Athletics,Ontario,OBL,1,,obl-teams,Breakthrough,0.706,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Toronto Lords Yasay,Ontario,OBL,1,,obl-teams,Toronto Lords Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Haldimand Huskies Quinn,Ontario,OBL,1,,obl-teams,Haldimand Huskies,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GBA Jordan,Ontario,OBL,1,,obl-teams,Grimsby Basketball Association,0.6,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Burloak Elite Anthony,Ontario,OBL,1,,obl-teams,Burloak Elite,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
DBA Team Wright,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
U16B Trailblazers,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Moore,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.48,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YNBA Avengers U16B Gabel,Ontario,OBL,1,,obl-teams,YNBA Basketball,0.513,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE - NISAL,Ontario,OBL,1,,obl-teams,Markham Unionville Minor Basketball Association (MUMBA),0.281,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GLADIATORS ROWELL,Ontario,OBL,1,,obl-teams,Gladiators Basketball (G-Squad),0.737,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MYAA Jaguars,Ontario,OBL,1,,obl-teams,Mississauga Youth Athletics Association,0.275,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Dk Dragons Black,Ontario,OBL,1,,obl-teams,DK Dragons,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
NRBA Mad Dogz-English,Ontario,OBL,1,,obl-teams,NRBA,0.32,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Northumberland Edge,Ontario,OBL,1,,obl-teams,Northern Kings,0.606,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TTT U16 Boys - Batura,Ontario,OBL,1,,obl-teams,Toronto Top Tier,0.529,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Sudbury Storm - - Coach Noah - -26,Ontario,OBL,1,,obl-teams,Sudbury Youth Basketball Association (Jam),0.449,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Ancaster Magic Palamarchuk,Ontario,OBL,1,,obl-teams,Ancaster Magic Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YSSK Lee,Ontario,OBL,1,,obl-teams,York South Silver Knights,0.303,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YSSK Jones,Ontario,OBL,1,,obl-teams,York South Silver Knights,0.343,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Ancaster Magic Bonitatibus,Ontario,OBL,1,,obl-teams,Ancaster Magic Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Burloak Elite Ossama,Ontario,OBL,1,,obl-teams,Burloak Elite,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Barron,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.538,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GCBA Wolverines,Ontario,OBL,1,,obl-teams,Gloucester Cumberland Basketball Association (Wolverines),0.271,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Peterborough Power McGarry,Ontario,OBL,1,,obl-teams,Peterborough City Basketball Club,0.542,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YNBA Avengers,Ontario,OBL,1,,obl-teams,YNBA Basketball,0.5,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Blitz - St. Julien,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Wiltshire,Ontario,OBL,1,,obl-teams,SBA Blues,0.444,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Inter-City Saints Redley,Ontario,OBL,1,,obl-teams,Inter-City Saints,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Cambridge Basketball- Jaipersaud,Ontario,OBL,1,,obl-teams,Cambridge Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Sudbury Storm - Coach Ghislain -26,Ontario,OBL,1,,obl-teams,Sudbury Youth Basketball Association (Jam),0.449,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Swampdonkeys,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
NMBA Edge,Ontario,OBL,1,,obl-teams,"Northumberland Minor Basketball Association (formerly Lakeshore Minor Basketball Association, rebranded 2022)",0.231,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Jump Basketball West,Ontario,OBL,1,,obl-teams,JUMP Basketball,0.857,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GBA Jamal,Ontario,OBL,1,,obl-teams,Grimsby Basketball Association,0.588,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
OSS Rising Stars,Ontario,OBL,1,,obl-teams,Ottawa Shooting Stars,0.595,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Gibbons,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Sudbury Storm - Coach Josh -26,Ontario,OBL,1,,obl-teams,Sudbury Youth Basketball Association (Jam),0.449,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Kingston Impact- Wallace,Ontario,OBL,1,,obl-teams,Kingston Impact,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Andrade,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.519,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
WOODBRIDGE LIONS U17B,Ontario,OBL,1,,obl-teams,Woodbridge Basketball Association,0.556,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TTT U17 Boys,Ontario,OBL,1,,obl-teams,Toronto Top Tier,0.4,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
CBA Varsity U17 Boys,Ontario,OBL,1,,obl-teams,Caledon Basketball Academy,0.261,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
ONL U17 Boys - Mostafa,Ontario,OBL,1,,obl-teams,ONL-X Basketball,0.5,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YNBA Avengers U17B McWilliams,Ontario,OBL,1,,obl-teams,YNBA Basketball,0.455,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Barrie Royals Chapler,Ontario,OBL,1,,obl-teams,Barrie Royals,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Ancaster Magic Gray,Ontario,OBL,1,,obl-teams,Ancaster Magic Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Breakdown Impowerful,Ontario,OBL,1,,obl-teams,Breakthrough,0.438,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Malton Sting Basketball- U17B,Ontario,OBL,1,,obl-teams,Malton Sting Basketball Club,0.929,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GM JOHNSTON,Ontario,OBL,1,,obl-teams,GTA Mavericks,0.298,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Jump Basketball East,Ontario,OBL,1,,obl-teams,JUMP Basketball,0.857,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Guelph CYO,Ontario,OBL,1,,obl-teams,Guelph Gryphons Basketball,0.72,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
KW Viper Perrott,Ontario,OBL,1,,obl-teams,KW Vipers,0.64,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Ancaster Magic McEwen,Ontario,OBL,1,,obl-teams,Ancaster Magic Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Haldimand Huskies Tindale,Ontario,OBL,1,,obl-teams,Haldimand Huskies,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
U17B Trailblazers,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Patterson,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.552,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GLADIATORS BRAD,Ontario,OBL,1,,obl-teams,Gladiators Basketball (G-Squad),0.8,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
ABA TORONTO KNIGHTS (Albany Avenue Basketball Inc.),Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Guelph Knights Red,Ontario,OBL,1,,obl-teams,Guelph Knights,0.875,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Heraldo,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.593,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
PBAA Academy,Ontario,OBL,1,,obl-teams,P13 Academy,0.783,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brantford CYO -Towers,Ontario,OBL,1,,obl-teams,Brantford CYO Boys,0.842,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brampton Warriors U17G- Ganza,Ontario,OBL,1,,obl-teams,Brampton Minor Basketball (BMBA),0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TTT U17 Girls,Ontario,OBL,1,,obl-teams,Toronto Top Tier,0.414,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
KW Viper Scott,Ontario,OBL,1,,obl-teams,KW Vipers,0.783,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
U17G Trailblazers,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Oshawa Strikers,Ontario,OBL,1,,obl-teams,Ottawa South Basketball Association,0.519,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Peterborough Power Butcher,Ontario,OBL,1,,obl-teams,Peterborough City Basketball Club,0.542,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Flamborough Fire Sol,Ontario,OBL,1,,obl-teams,Flamborough Fire,0.889,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Manalo,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.462,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Grimsby Grizzlies Elmer,Ontario,OBL,1,,obl-teams,Grimsby Basketball Association,0.467,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
London 86ers- Spears,Ontario,OBL,1,,obl-teams,London 86ers,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Cambridge Basketball- Crawford,Ontario,OBL,1,,obl-teams,Cambridge Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
DK U19 Men,Ontario,OBL,1,,obl-teams,DK Dragons,0.4,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Sudbury Storm - - Coach Tony -26,Ontario,OBL,1,,obl-teams,Sudbury Youth Basketball Association (Jam),0.449,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Ancaster Magic Francis,Ontario,OBL,1,,obl-teams,Ancaster Magic Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
CBA Varsity U19 Boys,Ontario,OBL,1,,obl-teams,Caledon Basketball Academy,0.261,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
KW Viper Randell,Ontario,OBL,1,,obl-teams,KW Vipers,0.64,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
CK Wildcats,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Collingwood Trailblazers U19M,Ontario,OBL,1,,obl-teams,Collingwood Trailblazers,0.906,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TTT U19 Boys,Ontario,OBL,1,,obl-teams,Toronto Top Tier,0.4,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
WOODBRIDGE LIONS U19M,Ontario,OBL,1,,obl-teams,Woodbridge Basketball Association,0.556,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Ancaster Magic Ransom,Ontario,OBL,1,,obl-teams,Ancaster Magic Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Matsugu,Ontario,OBL,1,,obl-teams,SBA Blues,0.48,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GLADIATORS ANDRE,Ontario,OBL,1,,obl-teams,Gladiators Basketball (G-Squad),0.839,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YSSK Jameer,Ontario,OBL,1,,obl-teams,York South Silver Knights,0.533,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
KW Viper Streit,Ontario,OBL,1,,obl-teams,KW Vipers,0.75,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brooklin Elite,Ontario,OBL,1,,obl-teams,Burloak Elite,0.741,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE - MACDONALD,Ontario,OBL,1,,obl-teams,Markham Unionville Minor Basketball Association (MUMBA),0.294,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Busby,Ontario,OBL,1,,obl-teams,SBA Blues,0.522,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
U19W Trailblazers,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TTT U19 Girls,Ontario,OBL,1,,obl-teams,Toronto Top Tier,0.414,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Woodbridge Lions - U19W YOUSEF,Ontario,OBL,1,,obl-teams,Woodbridge Basketball Association,0.612,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Barrie Royals Wylie,Ontario,OBL,1,,obl-teams,Barrie Royals,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brampton Warriors u19G- Graham,Ontario,OBL,1,,obl-teams,Brampton Minor Basketball (BMBA),0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YSSK Marchione,Ontario,OBL,1,,obl-teams,York South Silver Knights,0.444,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
London CYO Lambert,Ontario,OBL,1,,obl-teams,London CYO Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Burloak Elite Darcy,Ontario,OBL,1,,obl-teams,Burloak Elite,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
KW Viper Dunkley,Ontario,OBL,1,,obl-teams,KW Vipers,0.64,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Inter-City Saints Vasquez,Ontario,OBL,1,,obl-teams,Inter-City Saints,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GBA North,Ontario,CYBL (Canadian Youth Basketball League),,2025-26,obl-teams,Gators Basketball Academy,0.533,https://www.cybl.ca/,,,
Hampton City,Ontario,CYBL (Canadian Youth Basketball League),,2025-26,obl-teams,Hamilton Celtics,0.643,https://www.cybl.ca/ (High School division),,,
Colts,Ontario,CYBL (Canadian Youth Basketball League),,2025-26,obl-teams,Colts Prep (Bill Crothers SS),0.667,https://www.cybl.ca/ (High School division),,,
Barrhead Minor Basketball,,Jr. NBA Canada,,2019,jrnba-2019,Brampton Minor Basketball (BMBA),0.76,https://www.jrnba.ca/the-program/find-your-program,,,
Barrhead Minor Basketball,,Jr. NBA Canada,,2020,jrnba-2019,Brampton Minor Basketball (BMBA),0.76,https://www.jrnba.ca/the-program/find-your-program,,,
Baskademie,,Jr. NBA Canada,,2019-20,jrnba-2019,21 Basketball Academy,0.516,https://www.jrnba.ca/the-program/find-your-program,,,
Brokenhead River Rec Commission,,Jr. NBA Canada,,2019,jrnba-2019,Basketball Basics Inc,0.308,https://www.jrnba.ca/the-program/find-your-program,,,
Brokenhead River Rec Commission,,Jr. NBA Canada,,2020,jrnba-2019,Basketball Basics Inc,0.308,https://www.jrnba.ca/the-program/find-your-program,,,
Burlington Recreation,,Jr. NBA Canada,,2019-20,jrnba-2019,Burlington Basketball,0.703,https://www.jrnba.ca/the-program/find-your-program,,,
City of Penticton,,Jr. NBA Canada,,2019,jrnba-2019,City of Morden Recreation — Youth Basketball,0.667,https://www.jrnba.ca/the-program/find-your-program,,,
Community YMCA,,Jr. NBA Canada,,2019,jrnba-2019,Community YMCA Panthers Basketball (YMCA of Greater Halifax/Dartmouth),0.85,https://www.jrnba.ca/the-program/find-your-program,,,
Greenwave United Basketball United,,Jr. NBA Canada,,2019,jrnba-2019,Greenwave United (Saskatoon Basketball Academy),0.85,https://www.jrnba.ca/the-program/find-your-program,,,
Junior Ball-Stars,,Jr. NBA Canada,,2020,jrnba-2019,Junior Reds Basketball (UNB),0.564,https://www.jrnba.ca/the-program/find-your-program,,,
Kamloops Jr. NBA,,Jr. NBA Canada,,2019-20,jrnba-2019,Kamloops Hoops,0.621,https://www.jrnba.ca/the-program/find-your-program,,,
Kimberley Basketball Association,,Jr. NBA Canada,,2019,jrnba-2019,Kelowna Minor Basketball Association (KMBA),0.765,https://www.jrnba.ca/the-program/find-your-program,,,
Lunenburg County YMCA,,Jr. NBA Canada,,2019,jrnba-2019,Big Country Basketball,0.512,https://www.jrnba.ca/the-program/find-your-program,,,
MCBC Jr. NBA,,Jr. NBA Canada,,2019,jrnba-2019,MCBC . NBA,0.842,https://www.jrnba.ca/the-program/find-your-program,,,
North Cowichen Parks and Rec,,Jr. NBA Canada,,2019,jrnba-2019,North Bay Spartans,0.531,https://www.jrnba.ca/the-program/find-your-program,,,
