municipality,province,population,clubs_found,priority
Fort Frances,Ontario,7466,0,medium
Newell County,Alberta,7465,0,medium
Donnacona,Quebec,7436,0,medium
Iqaluit,Nunavut,7429,0,medium
North Stormont,Ontario,7400,0,medium
Comox Valley B (Lazo North),British Columbia,7392,0,medium
Dryden,Ontario,7388,0,medium
Augusta,Ontario,7386,0,medium
St. Marys,Ontario,7386,0,medium
Baie-Saint-Paul,Quebec,7371,0,medium
La Sarre,Quebec,7358,0,medium
Louiseville,Quebec,7340,0,medium
Drayton Valley,Alberta,7291,0,medium
Shefford,Quebec,7253,0,medium
Brownsburg-Chatham,Quebec,7247,0,medium
Digby,Nova Scotia,7242,0,medium
Chibougamau,Quebec,7233,0,medium
Whitewater Region,Ontario,7225,0,medium
Westlock County,Alberta,7186,0,medium
Les Cèdres,Quebec,7184,0,medium
Dysart et al,Ontario,7182,0,medium
Brazeau County,Alberta,7179,0,medium
Bayham,Ontario,7096,0,medium
Val-des-Sources,Quebec,7088,0,medium
Otonabee-South Monaghan,Ontario,7087,0,medium
Chatsworth,Ontario,7080,0,medium
Campbellton,New Brunswick,7047,0,medium
Hampstead,Quebec,7037,0,medium
Saint-Joseph-du-Lac,Quebec,7031,0,medium
Saint-Félix-de-Valois,Quebec,6975,0,medium
Minden Hills,Ontario,6971,0,medium
Athabasca County,Alberta,6959,0,medium
Arran-Elderslie,Ontario,6913,0,medium
Wainfleet,Ontario,6887,0,medium
Saint-Lambert-de-Lauzon,Quebec,6817,0,medium
Saint-Calixte,Quebec,6792,0,medium
"Cumberland, Subd. B",Nova Scotia,6786,0,medium
La Broquerie,Manitoba,6725,0,medium
Beaubassin East / Beaubassin-est,New Brunswick,6718,0,medium
Clarenville,Newfoundland and Labrador,6704,0,medium
Hope,British Columbia,6686,0,medium
Wainwright,Alberta,6606,0,medium
Gimli,Manitoba,6569,0,medium
Saint-Paul,Quebec,6566,0,medium
Stephenville,Newfoundland and Labrador,6540,0,medium
East Kootenay C,British Columbia,6536,0,medium
Barrington,Nova Scotia,6523,0,medium
Port-Cartier,Quebec,6516,0,medium
Cramahe,Ontario,6509,0,medium
Perth,Ontario,6469,0,medium
Trent Lakes,Ontario,6439,0,medium
Shannon,Quebec,6432,0,medium
Plessisville,Quebec,6414,0,medium
Bonnyville,Alberta,6404,0,medium
Mont-Joli,Quebec,6384,0,medium
Saint-Honoré,Quebec,6376,0,medium
North Middlesex,Ontario,6307,0,medium
St. Paul County No. 19,Alberta,6306,0,medium
Charlemagne,Quebec,6302,0,medium
Kent,British Columbia,6300,0,medium
Pointe-Calumet,Quebec,6281,0,medium
Beresford,New Brunswick,6226,0,medium
Princeville,Quebec,6218,0,medium
Beauceville,Quebec,6185,0,medium
Cariboo A,British Columbia,6169,0,medium
"Pictou, Subd. A",Nova Scotia,6153,0,medium
"Pictou, Subd. B",Nova Scotia,6137,0,medium
Notre-Dame-du-Mont-Carmel,Quebec,6121,0,medium
Sainte-Anne-des-Monts,Quebec,6121,0,medium
L'Ange-Gardien,Quebec,6102,0,medium
Southern Gulf Islands,British Columbia,6101,0,medium
Willow Creek No. 26,Alberta,6081,0,medium
Tweed,Ontario,6067,0,medium
"Algoma, Unorganized, North Part",Ontario,6050,0,medium
Oliver Paipoonge,Ontario,6035,0,medium
Petrolia,Ontario,6013,0,medium
Amqui,Quebec,5999,0,medium
"Annapolis, Subd. A",Nova Scotia,5980,0,medium
Saint-Césaire,Quebec,5972,0,medium
Peace River C,British Columbia,5947,0,medium
McMasterville,Quebec,5936,0,medium
Douglas,New Brunswick,5935,0,medium
Tay Valley,Ontario,5925,0,medium
Lac-Brome,Quebec,5923,0,medium
Southwest Middlesex,Ontario,5893,0,medium
Ashfield-Colborne-Wawanosh,Ontario,5884,0,medium
South Bruce,Ontario,5880,0,medium
Beaver County,Alberta,5868,0,medium
St. Paul,Alberta,5863,0,medium
Saint-Pie,Quebec,5847,0,medium
Sioux Lookout,Ontario,5839,0,medium
Rhineland,Manitoba,5819,0,medium
Saint-Henri,Quebec,5813,0,medium
Peachland,British Columbia,5789,0,medium
Verchères,Quebec,5759,0,medium
Lac-Mégantic,Quebec,5747,0,medium
Lanark Highlands,Ontario,5737,0,medium
Crowsnest Pass,Alberta,5695,0,medium
"Cumberland, Subd. C",Nova Scotia,5694,0,medium
Vegreville,Alberta,5689,0,medium
Neepawa,Manitoba,5685,0,medium
Lucan Biddulph,Ontario,5680,0,medium
Sainte-Martine,Quebec,5664,0,medium
Les Coteaux,Quebec,5643,0,medium
Bulkley-Nechako A,British Columbia,5587,0,medium
Ste. Anne,Manitoba,5584,0,medium
Creston,British Columbia,5583,0,medium
Redcliff,Alberta,5581,0,medium
Val-David,Quebec,5558,0,medium
Osoyoos,British Columbia,5556,0,medium
Saint-Roch-de-l'Achigan,Quebec,5453,0,medium
Brokenhead,Manitoba,5414,0,medium
Hudson,Quebec,5411,0,medium
Norway House 17,Manitoba,5390,0,medium
Cochrane,Ontario,5390,0,medium
Gananoque,Ontario,5383,0,medium
Peace River B,British Columbia,5379,0,medium
Cookshire-Eaton,Quebec,5344,0,medium
Armstrong,British Columbia,5323,0,medium
Cariboo G,British Columbia,5312,0,medium
Spallumcheen,British Columbia,5307,0,medium
Chertsey,Quebec,5295,0,medium
Windsor,Quebec,5294,0,medium
Seguin,Ontario,5280,0,medium
"Kings, Subd. D",Nova Scotia,5264,0,medium
"Annapolis, Subd. C",Nova Scotia,5218,0,medium
Marystown,Newfoundland and Labrador,5204,0,medium
Espanola,Ontario,5185,0,medium
Burton,New Brunswick,5176,0,medium
Shediac,New Brunswick,5144,0,medium
Lanoraie,Quebec,5134,0,medium
Juan de Fuca (Part 1),British Columbia,5132,0,medium
Oliver,British Columbia,5094,0,medium
Saint Marys,New Brunswick,5084,0,medium
Havelock-Belmont-Methuen,Ontario,5083,0,medium
Metchosin,British Columbia,5067,0,medium
West Elgin,Ontario,5060,0,medium
Témiscouata-sur-le-Lac,Quebec,5054,0,medium
North Huron,Ontario,5052,0,medium
Cowichan Valley C,British Columbia,5046,0,medium
Stonewall,Manitoba,5046,0,medium
Central Kootenay H,British Columbia,5045,0,medium
Memramcook,New Brunswick,5029,0,medium
Sainte-Anne-de-Bellevue,Quebec,5027,0,medium
Stirling-Rawdon,Ontario,5015,0,medium
Saint-Joseph-de-Beauce,Quebec,5014,0,medium
Orford,Quebec,5007,0,medium
