club,league,entry_detail
EM Elite,NPH-SL,Gr11 (ARETE)
Eurostep Basketball,NPH-SL,Gr10 (PRIME)
Eurostep Basketball,NPH-SL,Gr11 (ARETE)
G2S Game Changers,NPH-SL,"Gr9 (Gold–GS, Black–ARETE)"
G2S Game Changers,NPH-SL,"Gr9 (Gold–GS, Black–ARETE)"
Hamilton Transformation Academy,NPH-SL,Gr10 (GS)
Hamilton Transformation Academy,NPH-SL,JrGirls
Hodan Prep,NPH-D1,D1 JrB
Hodan Prep,NPA,NPA
King Heights,NPH-SL,Gr9 (PRIME)
King Heights,NPA,NPA
Kings Court Basketball,NPH-SL,Gr7
Kings Court Basketball,NPH-SL,Gr9 (PRIME)
Lincoln Prep,NPH-D1,D1 JrB
Lincoln Prep,NPA,NPA
Malton Sting Basketball,NPH-SL,Gr10 (ARETE)
Malton Sting Basketball,NPH-SL,Gr11 (DMV)
North Toronto Huskies,NPH-SL,Gr11 (DMV)
North Toronto Huskies,NPH-SL,"Gr12 (DMV, ""Nkansah"")"
ONL-X,NPH-SL,Gr12 (ARETE)
ONL-X,NPH-D1,D1 JrG
Retro Elite,NPH-SL,Gr10 (PRIME)
Retro Elite,NPH-SL,Gr12 (GS)*
St. Michael's College School,NPH-SL,Gr10 (GS)
St. Michael's College School,NPH-D1,D1 Scholastic
Tru Balance,NPH-SL,Gr8
Tru Balance,NPH-SL,Gr9 (PRIME)
Vaughan Panthers,NPH-SL,Gr10 (PRIME)
Vaughan Panthers,NPH-SL,Gr12 (DMV)
Waterloo Wolverines Elite,NPH-SL,Gr10 (GS)
Waterloo Wolverines Elite,NPH-SL,Gr12 (GS)
West United Prep,NPH-SL,"Gr12 (Blue–GS, White–ARETE)"
West United Prep,NPH-SL,"Gr12 (Blue–GS, White–ARETE)"
YvY Elite,NPH-SL,Gr7
YvY Elite,NPH-SL,Gr10 (PRIME)
AAA Academy,NPH-D1,D1 Academy
Against the Six,NPH-SL,SL Gr12*
Alma Prep,NPH-D1,D1 Academy
Alpha Elite,NPH-SL,SL Gr10 PRIME
B1CE London,NPH-D1,D1 SrG
BALL905 Elite,NPH-SL,SL Gr10 GS
Barrie Buccaneers,NPH-SL,SL Gr7
Blessed Sacrament,NPH-SL,SL Gr9 ARETE
Brantford Hawks,NPH-SL,SL Gr10 GS
Burlington Force,NPH-SL,SL Gr12 ARETE*
Burlington Hoops Academy,NPH-SL,SL Gr10 DMV
C.O.D.E Sports Academy,WNPA,WNPA
CB Elite,NPH-SL,SL Gr9 ARETE
CSJV Prep Basketball QC,NPA,NPA
Canada Central Prep,NPH-D1,D1 Academy
Canadian Private School,NPH-D1,D1 Scholastic
Capital Courts,NPH-SL,SL Gr12 DMV
